id	locationID	countryCode	occurrenceStatus	establishmentMeans	eventDate
16326	Tonga	TO	Present	Alien	2022
16327	Tonga	TO	Present	Alien	2022
16328	Tonga	TO	Present	Alien	2022
16329	Tonga	TO	Present	Alien	2022
16330	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16331	Tonga	TO	Present	Alien	2022
16332	Tonga	TO	Present	Alien	2022
16333	Tonga	TO	Present	Alien	2022
16334	Tonga	TO	Present	Alien	2022
16335	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16336	Tonga	TO	Present	Alien	2022
16337	Tonga	TO	Present	Alien	2022
16338	Tonga	TO	Present	Alien	2022
16339	Tonga	TO	Present	Alien	2022
16340	Tonga	TO	Present	Alien	2022
16341	Tonga	TO	Present	Alien	2022
16342	Tonga	TO	Present	Alien	2022
16343	Tonga	TO	Present	Alien	2022
16344	Tonga	TO	Present	Alien	2022
16345	Tonga	TO	Present	Alien	2022
16346	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16347	Tonga	TO	Present	Alien	2022
16348	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16349	Tonga	TO	Present	Alien	2022
16350	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16351	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16352	Tonga	TO	Present	Alien	2022
16353	Tonga	TO	Present	Alien	2022
16354	Tonga	TO	Present	Alien	2022
16355	Tonga	TO	Present	Alien	2022
16356	Tonga	TO	Present	Alien	2022
16357	Tonga	TO	Present	Alien	2022
16358	Tonga	TO	Present	Alien	2022
16359	Tonga	TO	Present	Alien	2022
16360	Tonga	TO	Present	Alien	2022
16361	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16362	Tonga	TO	Present	Alien	2022
16363	Tonga	TO	Present	Alien	2022
16364	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16365	Tonga	TO	Present	Alien	2022
16366	Tonga	TO	Present	Alien	2022
16367	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16368	Tonga	TO	Present	Alien	2022
16369	Tonga	TO	Present	Alien	2022
16370	Tonga	TO	Present	Alien	2022
16371	Tonga	TO	Present	Alien	2022
16372	Tonga	TO	Present	Alien	2022
16373	Tonga	TO	Present	Alien	2022
16374	Tonga	TO	Present	Alien	2022
16375	Tonga	TO	Present	Alien	2022
16376	Tonga	TO	Present	Alien	2022
16377	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16378	Tonga	TO	Present	Alien	2022
16379	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16380	Tonga	TO	Present	Alien	2022
16381	Tonga	TO	Present	Alien	2022
16382	Tonga	TO	Present	Alien	2022
16383	Tonga	TO	Present	Alien	2022
16384	Tonga	TO	Present	Alien	2022
16385	Tonga	TO	Present	Alien	2022
16386	Tonga	TO	Present	Alien	2022
16387	Tonga	TO	Present	Alien	2022
16388	Tonga	TO	Present	Alien	2022
16389	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16390	Tonga	TO	Present	Alien	2022
16391	Tonga	TO	Present	Alien	2022
16392	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16393	Tonga	TO	Present	Alien	2022
16394	Tonga	TO	Present	Alien	2022
16395	Tonga	TO	Present	Alien	2022
16396	Tonga	TO	Present	Alien	2022
16397	Tonga	TO	Present	Alien	2022
16398	Tonga	TO	Present	Alien	2022
16399	Tonga	TO	Present	Alien	2022
16400	Tonga	TO	Present	Alien	2022
16401	Tonga	TO	Present	Alien	2022
16402	Tonga	TO	Present	Alien	2022
16403	Tonga	TO	Present	Alien	2022
16404	Tonga	TO	Present	Alien	2022
16405	Tonga	TO	Present	Alien	2022
16406	Tonga	TO	Present	Alien	2022
16407	Tonga	TO	Present	Alien	2022
16408	Tonga	TO	Present	Alien	2022
16409	Tonga	TO	Present	Alien	2022
16410	Tonga	TO	Present	Alien	2022
16411	Tonga	TO	Present	Alien	2022
16412	Tonga	TO	Present	Alien	2022
16413	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16414	Tonga	TO	Present	Alien	2022
16415	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16416	Tonga	TO	Present	Alien	2022
16417	Tonga	TO	Present	Alien	2022
16418	Tonga	TO	Present	Alien	2022
16419	Tonga	TO	Present	Alien	2022
